promedio_horas_mensuales,llegadas_tarde_90d,salidas_tempranas_90d,ausencias_90d,desempeno,satisfaccion_laboral,salida
141.39606929311125,7,1,4,66.2298528428226,50.46665158975336,0
134.39582773964682,1,2,2,100.0,84.03436342102445,1
165.7884282815862,1,2,0,100.0,81.18905191455326,1
208.94233033859106,8,2,1,75.24956459908084,4.6653588130755,0
210.58232571735505,3,0,2,52.455598852879206,76.14994600328647,1
110.6353417059465,3,1,0,17.23557456412169,47.676921738392465,1
135.77729649262173,4,2,2,31.16565667963574,25.484221822093613,0
166.08524184381014,4,0,1,27.56964902813565,74.576148848879,1
214.90236440049878,1,2,3,97.62729889124616,89.27908254158781,1
158.25930543879605,1,2,1,59.17202892608687,95.30926581832344,1
161.26955841394636,1,2,2,100.0,82.56788311646419,1
187.0710558680065,1,2,2,44.70593974337437,47.742395226882834,1
145.49035151893293,1,1,1,76.50735244215015,97.90038330698206,1
134.11079183750402,4,3,2,88.45575735042209,84.39399973251932,1
126.49478768115544,1,1,1,41.90584416516065,62.551998726338326,0
183.31291033106177,2,2,1,67.59626315974282,63.0765946964392,1
97.41273326297886,7,2,1,62.935681597026715,0.0,0
144.12202651080207,3,1,1,55.85873542828939,100.0,1
161.43610929129915,3,1,1,75.79222443982968,76.02928557366181,1
176.49208681468224,5,1,1,38.923417497332274,75.62864312298731,1
127.98011411700494,3,1,1,41.96139136966294,52.84132805091611,0
110.49100115943217,1,4,1,95.84641793090609,75.29863673871878,0
146.6779984605056,2,1,10,99.8606062416639,100.0,1
157.39009552343032,3,1,2,83.98692228409904,98.76772706583073,1
166.87780636463742,3,0,1,77.82040886988878,54.74749316231397,1
195.393452837415,3,3,3,19.78871594235784,82.4414630686347,1
155.8633551063878,1,1,0,67.6448977081613,62.81498856484684,1
152.88320954858915,2,0,1,95.32553315329358,100.0,1
153.30071615726183,1,1,12,92.85122276206113,100.0,1
146.83251429223083,3,3,0,76.0526830111751,88.85126385596814,1
174.4951373533202,3,2,1,26.64033067603762,82.65836211754316,1
164.45850975975137,2,1,3,81.04538797983342,67.5324317508234,1
163.3222073056574,3,4,2,51.7158939476147,67.58984642884863,1
180.16529654065704,3,0,0,64.15744483936174,63.212834568373054,1
175.52440986604827,1,4,1,72.95527652621219,90.40024916484819,1
157.9853578453429,3,3,1,66.9086435674858,62.16872710657435,1
139.00027466387922,3,3,6,48.04641130302572,48.60525923285249,0
178.02666754720045,4,1,0,50.89678039504267,90.88665179814546,1
151.84758566361478,2,0,0,81.32722299935688,69.27575079709244,1
177.7446661557133,2,0,3,80.48286773182976,90.56548528219145,1
159.84433029631532,4,2,1,100.0,58.1965839978305,1
218.15759604304947,4,2,1,63.9349908102977,51.84469634100467,1
120.43942765485637,5,2,3,55.38314921322194,79.57623088458068,1
137.72719242295005,2,1,0,73.63598399301051,54.301416337456004,1
129.68704370448035,10,1,2,34.22019878181359,78.50033968625294,0
152.31421741515118,1,2,1,100.0,91.55556360025531,1
178.36284867283575,4,1,0,84.4134692280139,85.39454418125356,1
151.69036170189833,1,4,0,71.42602520422363,64.32104227823659,1
118.57201728802471,3,0,1,79.43115506586064,100.0,1
149.65263010311864,1,1,1,47.03119357283557,43.83999290337909,0
171.62626771318588,2,2,3,74.23970011215465,48.17205398497601,1
156.41122404939082,2,4,4,50.28198811056768,59.27440237751359,1
182.53268050242636,1,2,1,100.0,100.0,1
196.90595072085603,2,0,0,84.85483723431176,100.0,1
184.12283387144728,2,4,1,90.60213719966778,67.3806841510729,1
165.06628006018113,0,0,1,99.38260147020591,100.0,1
146.58486088822383,4,1,1,42.52795364476153,60.110233838722664,0
147.2600333920326,3,4,1,84.63378065079266,41.36048039971167,0
162.46028839666747,3,0,1,71.9892394523839,62.4910249447298,0
186.78634962967058,2,2,0,100.0,93.7615209047669,1
124.20515943470623,2,3,1,100.0,86.36147828604167,1
183.18778469544662,2,3,2,53.90902335842007,79.26648749962584,1
158.4169641701001,2,0,1,72.79933985155466,59.968470240434584,1
161.9794605270588,1,5,2,18.450143335631353,89.98996176277859,1
109.60365633188188,2,0,0,51.20633322175244,20.9592241374789,0
158.0879502714605,2,3,2,85.90722218786865,86.06224009100865,1
149.0475678511405,4,0,1,65.19201275816467,71.9769886218131,1
176.75703294095283,2,2,2,76.82896165896044,82.68378062251271,1
185.89325686420688,2,2,4,85.40690445246486,53.946866265547605,1
124.36882155286457,3,2,0,24.3063460974175,65.62492580816959,1
141.0849764015028,3,2,0,95.23412967376986,69.81901835806057,1
144.88711742096157,0,6,1,75.98204818304693,100.0,1
183.87312688863256,1,0,0,100.0,56.07098407216678,1
206.6237259470299,4,4,0,68.55956252312168,87.42990555446067,1
174.86189331360157,5,1,1,100.0,70.27878710161521,1
152.09147325190904,4,1,1,91.5133653687324,20.92838449088897,0
157.23704507257523,3,2,0,58.3955739479889,60.2254108664098,1
147.8536436937098,3,0,0,54.91515960924335,56.52808677586569,1
164.7760735874933,4,2,2,49.305925556164084,38.75431388080445,0
152.3009669221845,3,1,10,92.54177654926178,86.54364498332748,1
150.84825363453876,0,4,0,47.54829196901531,68.95592315096826,1
135.7807972810297,3,2,1,6.181094291508453,43.31453361852132,1
142.2373440118915,1,3,0,100.0,59.8208496738943,1
162.07917043739738,2,0,0,73.66727159238526,77.90013293313577,1
130.64458795991663,1,3,1,100.0,93.99510098283699,1
166.15539110062107,1,4,0,100.0,59.78399324885467,1
148.84733228889982,3,2,1,49.15938871936059,100.0,1
162.75713682464175,2,1,0,81.13670589305312,91.67108186931162,1
166.7451526996727,2,1,3,98.2443073617996,42.878185454138126,1
162.18458867540602,3,0,3,78.74951771183503,76.68927011717564,1
159.72782952623675,1,2,2,84.62095190853772,72.81647859378279,1
162.4607869261073,1,2,1,86.76211147552353,65.77927948494622,1
143.27584019604706,3,2,0,100.0,67.00991615665501,1
151.5684128604917,2,1,1,71.69087378304246,100.0,1
138.9571732294437,5,0,2,53.023686664223746,66.61134765097037,1
153.5207307738994,3,0,2,50.33181825267036,82.21668294114109,1
156.26448378122276,1,3,1,59.85023303453803,65.28244715975121,1
186.53849035596224,2,1,0,46.651335230194555,60.361983815706935,1
113.51538454700366,1,1,2,46.34977919071065,66.0179900869993,0
172.39536630726244,2,0,1,53.400005107111554,69.3446911656635,1
220.0,4,1,2,85.22908475766067,69.06231374447782,1
166.00458587077102,2,2,1,77.67210031146993,59.32307227123994,1
144.79310376323576,7,0,0,23.740989153199877,39.39866362450637,0
121.00656643987446,1,0,2,77.02823258042733,90.6347733417193,1
88.2158562886006,6,2,7,46.88407535627484,60.43130066058713,0
196.94757936350553,1,4,0,59.502701163978486,95.99430497500603,1
112.68891151925348,1,3,0,26.986710298445725,24.29514866008069,1
105.51437635190604,3,0,6,36.58534446153942,33.31922837293392,0
164.74633794654818,2,4,2,46.489405895331146,95.66943848607364,1
168.23342900449444,3,1,2,58.41358829764369,93.08514984493085,1
177.9600423721904,2,4,1,97.87531944633676,71.24865462925177,1
195.18545535047159,3,0,1,26.472096810595808,66.90929666013484,1
171.67855358895554,5,1,4,56.318838571318125,53.8194675490699,0
214.05406441899626,0,1,1,58.772378283163086,54.72321703072419,1
134.1301978105214,2,1,7,80.73836085567343,78.21191202322993,1
181.54098603748866,1,1,1,3.7789430530887804,62.35650560949516,1
139.1884276811016,1,1,0,96.74276497522195,66.797422941222,1
143.444412817365,0,5,2,97.52276818310037,61.316127643040986,1
175.9437445763141,0,3,1,100.0,45.52375761389251,1
171.60577784479207,8,2,0,100.0,100.0,1
171.11177077973508,1,3,0,61.01010398204153,92.17137953901596,1
183.9266218586409,1,2,2,89.39344720541692,65.8951263779073,1
202.62434464783084,1,5,0,95.50218070343102,54.590479455757446,0
191.0840601170614,6,2,0,59.86989085809032,69.83899510073874,1
163.1032112989552,4,0,0,91.38844143279499,88.7039796016542,1
174.90746458953305,2,1,1,68.72623876543378,75.08869593530774,0
154.736224312642,0,1,0,97.90596894201607,26.106046374869713,0
163.10459747926913,3,1,1,100.0,77.22610117373462,0
110.04529940054016,1,3,5,33.74241458754469,61.531948491317706,1
166.25441448731323,4,0,4,76.58556583474557,43.15693111238871,1
99.07381451305932,6,3,5,85.41180520536682,10.493912825600969,1
170.62606772854858,2,0,3,97.78201766081342,57.14006795503466,0
161.04714420697553,2,2,0,100.0,78.5128690013353,0
151.65115670848968,3,1,1,38.50789273710511,70.88869919092997,0
137.36620580231332,3,2,1,68.6111227243101,68.9121815093905,0
180.47342548613383,3,3,2,61.252153391419185,67.4921072043193,1
124.3659507647875,3,0,1,90.27360301613734,100.0,0
155.1746612619972,1,6,0,67.5144306323048,87.52640227110327,0
133.38380871384834,5,1,1,74.1704254835719,59.8473499076019,0
134.617289258806,2,3,4,48.766566255175114,0.0,1
127.71910888293442,1,1,1,62.06714739170165,64.41021990558244,0
162.63812953409035,1,3,0,83.9505496455587,33.62893685817386,0
187.65869096446426,2,3,1,56.27372811794346,69.08953348578858,0
145.19486150162092,5,0,2,83.96373493534449,27.289734317868614,1
152.97473614895065,1,3,3,90.30717121445024,74.77768394640606,0
142.7213933767651,6,0,5,73.27633842047732,58.82073509193009,1
135.54070238858108,1,2,1,38.61219551523306,86.1873271699999,0
129.24816726392257,2,2,1,15.507566351883739,61.525506324084304,1
149.34330597170734,2,6,0,53.147170037061755,100.0,0
183.1300441135113,1,1,10,45.60756535208769,64.70001352344028,0
159.0319864053879,2,1,1,64.45158342487267,22.28436593609371,1
122.55645529911402,0,1,3,52.36664077537691,73.61085545483031,0
165.02880480440373,1,0,1,92.12403472623964,100.0,0
181.32084482246762,0,0,0,48.26452748454841,100.0,0
169.46184652137148,6,2,1,75.31519288430947,67.16587967361505,0
147.50856211031137,1,1,2,97.45618538772896,91.25862203688233,1
133.0708346764028,2,1,1,63.45536004664284,94.85362583618122,0
137.88760522656025,2,1,0,69.82335399838892,73.0463694675039,0
173.6726476408509,0,2,0,57.944111359880196,46.5474100788483,0
151.18096321177376,1,1,0,50.56341074621609,65.91317939126142,0
151.2583428637825,0,0,1,75.9190940761055,60.4472180602683,0
171.34253558983147,4,0,0,34.331569721389386,42.05829022171658,1
172.34235156069377,3,1,0,98.41978826028132,76.47570183870519,0
170.85237328945527,1,0,1,63.94400439191097,93.86537878498132,0
178.28107710572885,2,0,0,86.92578933902617,81.92142733280355,0
123.17067383932135,2,0,0,21.9019217523283,72.20373160651829,0
165.29008913293168,3,2,0,48.40711090331952,79.00639747675518,0
177.25605112403215,3,5,0,92.97274375914176,56.83462266017763,1
130.2115213629577,1,2,0,81.56908122385944,24.56178862960339,0
157.3227234194639,2,2,3,87.65744282237048,62.371130948398225,0
148.44108042263073,2,1,1,61.343268184762216,46.53779778099257,0
152.72879524297338,3,3,2,58.395313479156,74.88088563533341,1
164.40803595497724,4,3,2,82.5790720472023,97.39566662576631,0
165.75310471929566,3,2,0,68.89422030976391,40.92357998565511,0
139.5672179393029,1,1,0,82.26397055589965,100.0,0
168.667275059395,2,4,1,60.46338264045308,50.29039875275636,0
163.41338892191146,1,1,0,84.37677163283594,52.98530475542776,0
146.46851868808986,3,2,1,32.029364784468,15.805533641493149,1
164.96316763261248,0,0,1,69.97623020484849,74.82492252702241,0
129.5810600823055,2,5,0,75.3071696601801,54.6059684938121,0
158.19729199651223,3,0,2,56.93208814272802,35.86289809796113,0
178.25426056699447,4,2,0,97.4210973747548,74.17847322928853,0
127.01729985024457,1,4,15,71.87340605535611,85.15274316444221,0
142.7115436450862,1,2,0,32.24287943413756,100.0,0
166.68213202998115,1,4,1,98.84139648979587,88.0276641253576,0
182.32639348131562,2,1,0,74.52545854612262,100.0,0
177.15466486656257,0,5,1,100.0,62.240534453746655,0
156.3246473822244,5,4,1,43.17561958317588,38.410933638563115,1
132.00745464614766,0,3,1,76.33079304454584,85.68462803422406,0
161.4981248138369,5,0,2,49.34888096148518,48.953021223716114,1
153.2746643157908,2,2,1,80.21498705528076,72.41256151107638,0
93.60652649196363,4,4,4,71.53500762574984,29.65251144137911,1
145.55858091409416,1,4,1,90.0491058549073,100.0,0
171.73224118861125,4,2,5,70.7416186263498,77.10366566815614,1
144.83090697272058,3,0,3,58.51478888956952,77.20997055483986,0
158.01329174191105,3,1,0,66.35392088868068,100.0,0
148.78485307517914,2,2,2,71.80513023946685,56.316628119010645,0
117.28179062169124,1,2,0,71.75163621391248,70.07541184766029,0
159.1576510571228,2,1,1,100.0,73.0491472270344,0
189.5926171388307,1,3,1,74.11303851604852,84.36699618437257,0
